TARGETID,p_void,p_sheet,p_filament,p_knot,H
39627817436054767,0.0,0.06,0.94,0.0,0.16372245957723813
39627853674841230,0.0,0.54,0.46,0.0,0.49768921941011285
39627829515650745,0.0,0.27,0.73,0.0,0.42073231810408784
39627841582662819,0.0,0.91,0.09,0.0,0.21823490853205144
39627829515650787,0.0,0.49,0.51,0.0,0.49985572087640495
39627835576422948,0.0,0.0,1.0,0.0,-0.0
39627841591055179,0.0,0.84,0.16,0.0,0.3171547773202831
39627841582662757,0.0,0.89,0.11,0.0,0.249957979082264
39627829515651740,0.0,1.0,0.0,0.0,-0.0
39627841582663292,0.0,0.82,0.18,0.0,0.34003852286413994
39627835547062318,0.0,0.98,0.02,0.0,0.07072027127091034
39627835576422952,0.0,0.42,0.58,0.0,0.49072694751682683
39627841595245655,0.0,0.62,0.38,0.0,0.47902101111314976
39627841595245714,0.0,0.03,0.97,0.0,0.0971959289157881
39627841595245718,0.0,0.0,0.94,0.06,0.16372245957723813
39627841595245801,0.0,0.31,0.69,0.0,0.4465867291889284
39627859735609850,0.0,0.96,0.04,0.0,0.12114609454120741
39627817444442669,0.0,0.76,0.24,0.0,0.39752013969226113
39627835547062559,0.0,0.79,0.21,0.0,0.37074136996563684
39627835580615752,0.0,0.0,0.76,0.24,0.39752013969226113
39627829540819833,0.0,0.0,0.94,0.06,0.16372245957723813
39627853674841128,0.01,0.98,0.01,0.0,0.08072027127091033
39627853674841110,0.0,0.61,0.39,0.0,0.4823997742525436
39627853674843023,0.0,0.21,0.79,0.0,0.37074136996563684
39627853674843039,0.0,0.36,0.64,0.0,0.4713415946277461
39627835547058244,0.0,0.16,0.84,0.0,0.3171547773202831
39627829545011071,0.0,0.5,0.5,0.0,0.5
39627853674843515,0.0,0.82,0.18,0.0,0.34003852286413994
39627835542869051,0.0,0.84,0.16,0.0,0.3171547773202831
39627835576422699,0.0,0.17,0.83,0.0,0.32885238937210975
39627835547058206,0.0,0.32,0.68,0.0,0.45219072886224687
39627865771215954,0.0,0.8,0.2,0.0,0.36096404744368116
39627853662261214,0.0,0.22,0.78,0.0,0.38008375148098283
