TARGETID,r,type,p_void,p_sheet,p_filament,p_knot,H
39627763581192018,0.47368421052631576,filament,0.0,0.11,0.89,0.0,0.249957979082264
39627781717362521,0.0,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39627817943565761,0.16666666666666666,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627793771792610,-0.4117647058823529,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39627793771792595,0.6470588235294118,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39627793771792388,-0.38461538461538464,sheet,0.0,0.56,0.44,0.0,0.4947937606110278
39627793763405576,0.4,filament,0.0,0.07,0.93,0.0,0.18296182545011158
39627763581195308,0.2857142857142857,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39627793763403135,0.6666666666666666,filament,0.0,0.06,0.93,0.01,0.20367037270049304
39627769620992292,-0.15789473684210525,filament,0.0,0.39,0.61,0.0,0.4823997742525436
39627769612600171,-0.06666666666666667,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627763581195003,-0.375,sheet,0.0,0.94,0.06,0.0,0.16372245957723813
39627769620992311,0.6,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627769620992312,0.0,filament,0.0,0.22,0.78,0.0,0.38008375148098283
39627769620992527,0.16666666666666666,filament,0.0,0.19,0.81,0.0,0.3507357299419487
39627763589582752,0.0,filament,0.0,0.21,0.79,0.0,0.37074136996563684
39627817943565671,0.06666666666666667,filament,0.0,0.41,0.59,0.0,0.488250234378912
39627769620992824,-0.1111111111111111,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39627817943565543,0.375,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627817943565371,0.3333333333333333,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39627769620993191,-0.058823529411764705,filament,0.0,0.18,0.82,0.0,0.34003852286413994
39627787719410776,-0.07692307692307693,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39627769620993428,0.23076923076923078,filament,0.0,0.18,0.82,0.0,0.34003852286413994
39627781717361864,0.07692307692307693,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627793763403930,0.42857142857142855,filament,0.0,0.0,1.0,0.0,-0.0
39627769620991814,0.5,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627781717361996,0.4,filament,0.0,0.21,0.79,0.0,0.37074136996563684
39627793763405837,0.4,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627781717362418,0.0,filament,0.0,0.38,0.62,0.0,0.47902101111314976
39627763581192468,0.2727272727272727,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627793763405623,0.23076923076923078,filament,0.0,0.14,0.86,0.0,0.292119405821428
39627763581191860,0.125,sheet,0.0,0.6,0.4,0.0,0.4854752972273343
39627793763405282,0.14285714285714285,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39627793763405056,-0.15789473684210525,sheet,0.0,0.95,0.05,0.0,0.14319847855797813
39627769620990403,0.1111111111111111,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39627793763404771,0.07692307692307693,filament,0.0,0.0,1.0,0.0,-0.0
39627793763404705,0.45454545454545453,filament,0.0,0.38,0.62,0.0,0.47902101111314976
39627769620991355,0.391304347826087,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627793763404686,0.4117647058823529,filament,0.0,0.15,0.85,0.0,0.3049201523582002
39627769620991359,-0.05263157894736842,filament,0.0,0.32,0.68,0.0,0.45219072886224687
39627769620991696,0.047619047619047616,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627793763404586,-0.15789473684210525,sheet,0.0,0.86,0.14,0.0,0.292119405821428
39627793763404916,0.2631578947368421,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627793771794350,0.15789473684210525,filament,0.0,0.23,0.77,0.0,0.38900565177326885
39627769612599854,0.0,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39627769612600044,0.5,filament,0.0,0.32,0.68,0.0,0.45219072886224687
39627781717364606,-0.1,sheet,0.0,0.58,0.42,0.0,0.49072694751682683
39627781717364631,-0.25,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39627781713169954,0.0,filament,0.0,0.42,0.58,0.0,0.49072694751682683
39627781717364697,-0.4117647058823529,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39627763581190875,0.2857142857142857,filament,0.0,0.0,1.0,0.0,-0.0
39627769629380318,0.2631578947368421,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39627769629380372,0.16666666666666666,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627769629380312,0.058823529411764705,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627781713169969,0.8571428571428571,filament,0.0,0.03,0.97,0.0,0.0971959289157881
39627769629379822,0.0,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627769633571449,0.6470588235294118,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627781713170012,-0.3333333333333333,sheet,0.0,0.87,0.13,0.0,0.2787190925139945
39627769629379791,-0.4444444444444444,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39627781717366000,0.14285714285714285,filament,0.0,0.11,0.89,0.0,0.249957979082264
39627781721555028,-0.058823529411764705,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39627781721555945,0.05263157894736842,filament,0.0,0.25,0.75,0.0,0.4056390622295664
39627781713170075,0.29411764705882354,filament,0.0,0.04,0.96,0.0,0.12114609454120741
39627769612600111,0.7142857142857143,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627781721556262,-0.2727272727272727,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627781713169918,0.16666666666666666,filament,0.0,0.27,0.73,0.0,0.42073231810408784
39627781713169740,0.16666666666666666,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39627769633571840,-0.4117647058823529,sheet,0.0,0.74,0.26,0.0,0.4133731862463089
39627781713167560,-0.4666666666666667,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627769633571670,0.3684210526315789,filament,0.0,0.32,0.68,0.0,0.45219072886224687
39627781713167875,0.25,filament,0.0,0.13,0.87,0.0,0.2787190925139945
39627781713168025,-0.3333333333333333,sheet,0.0,0.87,0.13,0.0,0.2787190925139945
39627769608410184,0.125,filament,0.0,0.25,0.75,0.0,0.4056390622295664
39627817951956499,-0.8,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627769633571652,0.125,filament,0.0,0.37,0.63,0.0,0.47533604634353294
39627757524618809,-0.16666666666666666,sheet,0.0,0.82,0.18,0.0,0.34003852286413994
39627781717364594,0.5,sheet,0.0,0.51,0.49,0.0,0.49985572087640495
39627769608410808,0.7777777777777778,filament,0.0,0.01,0.86,0.13,0.31810566868628926
39627781713169561,0.125,filament,0.0,0.11,0.89,0.0,0.249957979082264
39627781713169669,0.5384615384615384,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627763581190815,-0.2,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39627769608410216,0.47368421052631576,filament,0.0,0.24,0.76,0.0,0.39752013969226113
39627763581191556,1.0,filament,0.0,0.0,0.88,0.12,0.2646804326436822
39627781721556563,-0.14285714285714285,filament,0.0,0.47,0.53,0.0,0.4987007942838698
39627769620988275,-0.2,sheet,0.0,0.78,0.22,0.0,0.38008375148098283
39627793775984954,0.375,filament,0.0,0.15,0.85,0.0,0.3049201523582002
39627763581191451,0.6,filament,0.0,0.06,0.94,0.0,0.16372245957723813
39627793775984878,-0.3684210526315789,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627769629380951,0.5294117647058824,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39627769620989720,0.2,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39627781721558051,0.0,sheet,0.0,0.67,0.33,0.0,0.4574631863898637
39627793775984778,-0.23809523809523808,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627769629381244,-0.09090909090909091,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39627769620989313,-0.2631578947368421,sheet,0.0,0.95,0.05,0.0,0.14319847855797813
39627781721558290,-0.14285714285714285,sheet,0.0,0.89,0.11,0.0,0.249957979082264
39627769620989802,0.2631578947368421,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627781721558298,0.09090909090909091,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39627769620989879,0.2857142857142857,filament,0.0,0.14,0.86,0.0,0.292119405821428
39627793771794617,0.3333333333333333,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627793771794603,-0.058823529411764705,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627793771794474,0.14285714285714285,sheet,0.0,0.63,0.37,0.0,0.47533604634353294
39627769629379652,0.0,filament,0.0,0.35,0.65,0.0,0.4670340276877455
39627769620989240,0.16666666666666666,sheet,0.0,0.57,0.43,0.0,0.4929075185894599
39627781713170138,0.25,filament,0.0,0.17,0.83,0.0,0.32885238937210975
39627781713167455,-0.23076923076923078,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627793775988857,0.3333333333333333,filament,0.0,0.02,0.97,0.01,0.11097036642660543
39627763581191013,0.29411764705882354,filament,0.0,0.0,1.0,0.0,-0.0
39627769629380511,-0.38461538461538464,sheet,0.0,0.97,0.03,0.0,0.0971959289157881
39627793775988819,0.6666666666666666,filament,0.0,0.02,0.98,0.0,0.07072027127091034
39627781717362965,-0.4,sheet,0.0,0.55,0.45,0.0,0.49638722699390414
39627781721557087,-0.13043478260869565,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627781717362880,-0.06666666666666667,filament,0.0,0.09,0.91,0.0,0.21823490853205144
39627769620989269,0.6,filament,0.0,0.13,0.85,0.02,0.3474083653496681
39627763581191046,-0.2,sheet,0.0,0.96,0.04,0.0,0.12114609454120741
39627763581191112,0.0,sheet,0.0,0.62,0.38,0.0,0.47902101111314976
39627793775987094,0.5,filament,0.0,0.0,0.97,0.03,0.0971959289157881
39627763581191217,-0.2857142857142857,sheet,0.0,0.87,0.13,0.0,0.2787190925139945
39627769620988395,-0.3333333333333333,sheet,0.06,0.94,0.0,0.0,0.16372245957723813
39627793775986098,-0.6,sheet,0.0,0.83,0.17,0.0,0.32885238937210975
39627781713170192,0.09090909090909091,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39627817939375356,0.0,sheet,0.0,0.79,0.21,0.0,0.37074136996563684
39627769620993793,0.5,filament,0.0,0.0,1.0,0.0,-0.0
39627763585388667,0.0,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627787752966585,-0.09090909090909091,filament,0.0,0.1,0.9,0.0,0.2344977967946406
39627781717361341,0.2727272727272727,filament,0.0,0.2,0.8,0.0,0.36096404744368116
39627787748773027,0.42857142857142855,filament,0.0,0.05,0.95,0.0,0.14319847855797813
39627763585388330,0.6,filament,0.0,0.01,0.99,0.0,0.04039656794795559
39627787744580908,0.14285714285714285,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39627787744580667,-0.18181818181818182,sheet,0.0,0.95,0.05,0.0,0.14319847855797813
39627787744579174,0.23076923076923078,filament,0.0,0.24,0.76,0.0,0.39752013969226113
39627781713171221,-0.25,filament,0.0,0.4,0.6,0.0,0.4854752972273343
39627769633571041,-0.14285714285714285,sheet,0.0,0.64,0.36,0.0,0.4713415946277461
39627769629382373,-0.17647058823529413,sheet,0.0,0.7,0.3,0.0,0.44064544961534635
39627769612601809,0.3333333333333333,sheet,0.0,0.69,0.31,0.0,0.4465867291889284
39627769629382320,0.25,filament,0.0,0.12,0.88,0.0,0.2646804326436822
39627763585385806,0.3333333333333333,filament,0.0,0.0,1.0,0.0,-0.0
39627787736188132,-0.058823529411764705,sheet,0.0,0.77,0.23,0.0,0.38900565177326885
39627769629379256,-0.14285714285714285,sheet,0.0,0.88,0.12,0.0,0.2646804326436822
39627787757160404,-0.07692307692307693,filament,0.0,0.34,0.66,0.0,0.46240935248651505
39627793759209958,0.0,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627793759209916,-0.07692307692307693,sheet,0.0,0.75,0.25,0.0,0.4056390622295664
39627793759209898,0.3333333333333333,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39627793759209724,0.15789473684210525,sheet,0.0,0.67,0.33,0.0,0.4574631863898637
39627793759209614,-0.4666666666666667,sheet,0.0,0.99,0.01,0.0,0.04039656794795559
39627769629379327,-0.07692307692307693,sheet,0.0,0.72,0.28,0.0,0.4277254052800653
39627769616795171,0.45454545454545453,filament,0.0,0.29,0.71,0.0,0.43436062316970225
39627751497405154,-0.125,sheet,0.0,0.9,0.1,0.0,0.2344977967946406
39627781713170709,0.0,filament,0.0,0.3,0.7,0.0,0.44064544961534635
39627793759208150,0.15789473684210525,filament,0.0,0.28,0.72,0.0,0.4277254052800653
39627763585388978,-0.42857142857142855,sheet,0.0,0.98,0.02,0.0,0.07072027127091034
39627793755016683,-0.06666666666666667,sheet,0.0,0.61,0.39,0.0,0.4823997742525436
39627763581192618,0.3333333333333333,filament,0.0,0.01,0.97,0.02,0.11097036642660543
39627787761355480,0.17647058823529413,filament,0.0,0.26,0.74,0.0,0.4133731862463089
39627763581194594,0.4117647058823529,filament,0.0,0.02,0.96,0.02,0.14114609454120738
39627781713170975,0.25,filament,0.0,0.33,0.67,0.0,0.4574631863898637
39627763585389001,-0.5555555555555556,sheet,0.0,0.93,0.07,0.0,0.18296182545011158
39627769629381719,0.25,filament,0.0,0.19,0.81,0.0,0.3507357299419487
